// Reference=MNI
// 2001_Creem
// Subjects=12
-11	-73	59
18	-63	52

// 2003_Zacks
// Subjects=16
-61	-52	-1
-46	-68	28

// 2004_Committeri
// Subjects=14
16	-82	52
24	-82	20
36	-86	20
16	-78	48
16	-78	44
36	-54	52
24	-62	20
9	-48	9
20	-38	-4
20	-38	-4
-20	-74	56
-4	-66	60
-32	-90	28
-20	-70	28
-16	-66	16
-16	-46	0
24	-6	56
24	10	56
32	18	52
48	14	24
48	10	20
52	6	32
12	-86	-12
28	-78	-8
32	-38	-12
-24	-58	-12
-20	-46	-12
-32	-38	-8

// 2006_Aichhorn
// Subjects=18
33	-84	18
-24	-18	60
48	6	27

// 2006_David
// Subjects=13
-34	-56	56
-44	8	34
38	2	54
2	-36	-40
18	-26	14
34	22	2
-36	22	2
4	16	46
-18	-22	12
40	56	6
32	-64	-50

// 2006_Wallentin
// Subjects=14
24	10	66
-56	-66	0
-42	-64	18
62	-58	-8
-16	-64	22
20	-64	22
-36	-82	32
40	-84	32
-38	-40	52
46	-40	60
26	-68	28
22	-74	58
-12	-68	62
-12	-60	50
10	-58	64
6	-74	56

// 2007_Creem-Regehr
// Subjects=18
-40	-88	-4
30	-88	-10
8	-70	-24
-6	-24	-8
32	-54	56
28	-64	44
28	-34	0
-26	-32	-6
-36	-30	34

// 2007_Zaehle
// Subjects=16
-33	-18	-15
30	-24	-6
-15	-33	-45
6	-33	-39
51	-3	-9
45	-54	-15
-45	-66	-15
39	42	18
54	6	19
48	-33	45
24	-51	42

// 2008_David
// Subjects=13
-50	26	33
32	-70	-31
-48	-46	45
26	-2	61
-32	-66	-29
6	-76	-29

// 2008_Wallentin
// Subjects=21
-26	8	60
28	10	54
-32	-50	40
-20	-72	56
8	-60	46
-52	12	22

// 2010_Blanke
// Subjects=14
48	-42	18
51	12	21
-9	-78	48
9	-75	51
42	-48	39
-48	-45	36


// 2010_Kockler
// Subjects=18
4	20	46
40	-52	62
-36	-64	-28
44	-66	-10
50	12	30
-26	-4	58
-36	-38	40
-12	-78	-28
2	-34	-4
34	28	-6
28	-2	-48
-32	22	-2
-42	4	26
-46	-68	4

// 2010_Wrag_Boyle
// Subjects=18
46	-61	-38
64	-19	11
33	-83	10
-40	-44	42
14	26	30
-40	45	-12
49	-52	49
-37	-79	1
-42	15	-13
44	-5	0
-34	16	17
-21	-49	-34
-40	12	38
-40	48	9
-27	-81	34
-64	-48	33
-46	1	0
17	-40	-38
-37	-19	70
43	-19	70
70	-40	35
-15	-78	-23
-30	-75	-23
-2	-63	60
-58	-36	29

// 2010_Wraga_Flynn
// Subjects=13
-24	1	52
-37	-85	29
-31	43	19
-43	-15	-30
-11	-80	19
1	-74	18
39	-12	-42
33	0	-40

// 2010_Xiao
// Subjects=16
-27	-6	63
-24	3	69
-12	-3	63
48	30	30
42	27	18
39	18	9
-33	-57	45
-45	-36	51
-39	-42	45
36	-69	33
36	-42	51
24	-60	60
45	-39	51

// 2012_Lambrey
// Subjects=18
24	-18	60
15	-51	12
-51	-39	12
-45	-15	15
-18	-9	-15
-27	-6	-21
30	-27	-18
33	-6	33
30	-36	36
30	18	24
33	33	6
-3	27	6
9	30	24
18	33	27
-33	24	12
-63	3	18
39	-75	-3

// 2013_Mazzarella
// Subjects=12
-51	-76	1
-21	-94	-11
-36	-49	46
48	-70	10
48	-67	-5
18	-97	-8
15	-67	52
27	-79	46
39	-46	43
-27	-1	52
27	-1	58
39	2	49

// 2013_Sulpizio
// Subjects=15
-15	-67	52
18	-67	52
-27	-79	34
36	-76	31
-9	-73	49
9	-64	58
-36	-49	49
45	-34	46
-21	5	55
27	-1	58
-12	-70	-5
15	-67	-5
-18	-58	19
18	-55	19

// 2015_Ganesh
// Subjects=22
32	-45	50

// 2016_Sulpizio
// Subjects=14
-27	64	49
30	-58	43
-12	-70	52
15	-64	58
-27	-73	37
36	-73	34
-36	-79	28
-15	-58	22
18	-52	19

// 2017_Agarwal
// Subjects=8
16	-98	6
16	-98	6
16	-98	6
-44	-70	20
-44	-70	20
-44	-70	20
