// Reference=MNI		
// 2010_Shi		
// Subjects=12		
-10	14	  4
-8	0	 60
52	-34	  6
		
// 2010_Woodcock		
// Subjects=8		
-10	-80	 50
-19	-69	 41
13	-74	 45
-49	-42	 49
11	16	 45
5	32	 33
-47	14	 19
-39	43	 18
-41	54	 11
-29	51	  0
		
// 2011_Nee		
// Subjects=27		
2	14	 42
-2	8	 58
8	24	 36
		
// 2011_Stelzel		
// Subjects=48		
-50	12	 22
-52	6	 38
-26	-4	 54
-12	-68	 54
-32	-68	 48
		
// 2012_Whitmer 		
// Subjects=27		
-28	-70	 38
-8	8	 50
26	-10	 46
-6	-36	 20
12	-20	-10
-30	24	  2
		
// 2012_Witt		
// Subjects=134		
-26	10	 62
-42	44	 -8
-50	34	 16
44	38	 16
-46	22	 28
44	8	 28
-6	20	 50
-34	20	 -4
36	22	 -2
-38	-56	 64
-6	-74	 40
0	-34	 40
-32	-70	 54
32	-72	 52
-58	-52	-12
-32	-98	-10
24	-96	-10
-22	-78	 -8
32	-76	-10
-16	6	 14
14	10	  8
-10	-14	  0
8	-14	 -2
		
// 2013_Braem		
// Subjects=35		
-2	14	 54
6	-26	 28
-32	44	  6
-46	4	 40
40	54	  6
-30	-72	 50
22	-32	  2
		
// 2013_Piguet		
// Subjects=18		
-9	-72	 42
-30	-51	 39
-3	-27	 27
39	-51	-24
-51	-60	-15
		
// 2013_Rodríguez-Pujadas		
// Subjects=18		
-24	23	 -9
-3	-30	 43
-27	-71	 28
-9	-71	 37
-9	-59	 53
-50	-33	 40
-48	-47	 -5
-50	-56	 -7
-27	-78	 20
-6	9	  2
-15	-6	  3
12	-59	 50
12	3	  5
15	1	 17
		
// 2013_Witt		
// Subjects=83		
10	20	 44
-6	20	 50
-30	8	 60
30	8	 62
26	0	 56
-44	24	 26
-42	6	 30
-50	36	  8
44	10	 30
-34	20	 -4
34	22	 -2
-24	-64	 48
26	-72	 54
-46	-58	 52
-6	-74	 42
32	-68	 38
0	-30	 32
6	-80	  2
44	-82	  2
-58	-52	  6
-16	-22	 -4
8	-12	  0
4	-20	  2
		
// 2015_Fuentes-Claramonte		
// Subjects=28		
0	3	  9
9	3	  6
-12	9	  0
-48	-24	 39
-42	-45	 33
-48	-33	 42
-54	24	 21
-51	15	 36
-42	-6	 54
39	36	 21
33	45	 24
0	36	 18
0	21	 24
6	15	 36
-3	-60	  9
-9	-33	 48
42	-81	 -6
42	-81	  6
51	-72	 -9
		
// 2015_Reeck		
// Subjects=20		
-33	-45 	 39
-30	0	 63
3	-66	-12
30	-30	  0
30	9	 54
-6	-30	 21
		
// 2015_Vallesi		
// Subjects=31		
-4	12	 52
4	18	 50
-48	-46	 54
-40	-48	 42
-32	-56	 44
-44	30	 30
		
// 2016_Sekutowicz		
// Subjects=108		
-27	-1	 58
-48	14	 22
-36	32	 16
-51	5	 37
-30	20	  7
-18	8	  1
-3	14	 52
12	23	 31
-6	20	 37
-9	-73	 43
-27	-70	 43
-27	-67	 34
12	-70	 49
33	26	  7
-15	-16	  7
15	-13	 10
24	-1	 52
24	-7	 52
30	-91	  7
-21	-34	 -2
-3	11	 25
21	-34	  1
		
// 2019_Cubillo		
// Subjects=30		
17	-63	 32
-50	11	 29
-17	-58	-14
		
// 2019_Lemire-Rodger		
// Subjects=22		
36	51	  0
-3	-33	 45
3	18	 48
-33	0	 45
-42	30	 33
-30	0	 45
-41	44	 17
28	9	 51
-48	15	  0
9	-66	 45
36	-69	 45
